m2,price,location
105.45,949,Shangdi
88.17,593,Shangdi
147.62,760,Shangdi
46.03,330,Shangdi
172.33,1298,Shangdi
137.04,966,Shangdi
149.67,1720,Shangdi
62.85,798,Shangdi
46.24,368,Shangdi
104,830,Shangdi
189.52,1309,Shangdi
84.33,710,Shangdi
47.3,738,Shangdi
62.6,410,Shangdi
158.62,800,Shangdi
131.1,999,Shangdi
137.1,1360,Shangdi
100.58,1100,Shangdi
111.57,738,Shangdi
51.1,390,Shangdi
103.7,950,Shangdi
150.92,1350,Shangdi
198.31,2420,Shangdi
51.1,390,Shangdi
97,1100,Shangdi
172.33,1298,Shangdi
95.04,780,Shangdi
111.57,870,Shangdi
115.91,898,Shangdi
88.17,593,Shangdi
146.25,1068,Shangdi
137.04,966,Shangdi
114.2,1028,Shangdi
148.39,1030,Shangdi
60.8,755,Shangdi
106.84,1355,Shangdi
102.2,1110,Shangdi
156.15,1520,Shangdi
62.6,375,Shangdi
88.9,680,Shangdi
180.13,1080,Shangdi
98,680,Shangdi
180.72,1500,Shangdi
79.63,850,Shangdi
48.9,660,Shangdi
138.55,1230,Shangdi
73.7,920,Shangdi
114.3,1100,Shangdi
41.69,320,Shangdi
61.88,779,Shangdi
54.58,435,Shangdi
138.55,1230,Shangdi
112.8,905,Shangdi
139.62,950,Shangdi
99.41,736,Shangdi
114.4,899,Shangdi
180.13,1080,Shangdi
131.1,999,Shangdi
36.69,345,Shangdi
101.52,820,Shangdi
95.67,1198,Shangdi
125.3,1099,Shangdi
134.32,968,Shangdi
141.22,1130,Shangdi
121.9,1298,Shangdi
156.15,1520,Shangdi
149.84,1680,Shangdi
57.57,515,Shangdi
121.9,1298,Shangdi
119,799,Shangdi
193.8,1550,Shangdi
127.34,1090,Shangdi
153,1320,Shangdi
132.13,1000,Shangdi
133,1050,Shangdi
118.22,900,Shangdi
97.95,910,Shangdi
139.31,1300,Shangdi
144.53,950,Shangdi
151,1700,Shangdi
97,880,Shangdi
48,300,Shangdi
105.45,949,Shangdi
87.92,930,Shangdi
231.12,1550,Shangdi
79.66,320,Shangdi
73.6,960,Shangdi
148.5,1230,Shangdi
169.94,1400,Shangdi
135.55,1199,Shangdi
98,727,Shangdi
158.62,776,Shangdi
211.86,2380,Shangdi
213.18,1980,Shangdi
133.81,1190,Shangdi
137.04,966,Shangdi
76.8,996,Shangdi
175.1,1399,Shangdi
95,780,Shangdi
139.62,950,Shangdi
36.69,299,Shangdi
142.88,990,Shangdi
112.8,1100,Shangdi
102.06,790,Shangdi
109.11,1150,Shangdi
151.8,1050,Shangdi
125.3,1099,Shangdi
137.1,1060,Shangdi
96.89,880,Shangdi
156.15,1488,Shangdi
151.53,1200,Shangdi
175.1,1188,Shangdi
95.32,408,Shangdi
101.13,766,Shangdi
128.23,1170,Shangdi
144.31,700,Shangdi
79.63,850,Shangdi
163.99,1880,Shangdi
140.87,1098,Shangdi
111.57,850,Shangdi
161.79,1650,Shangdi
81.7,990,Shangdi
86.59,599,Shangdi
95.67,1160,Shangdi
84.65,368,Shangdi
158.62,776,Shangdi
109.3,1150,Shangdi
156.15,1488,Shangdi
58.8,840,Shangdi
95,780,Shangdi
108.08,750,Shangdi
59.4,930,Shangdi
62.43,890,Shangdi
92.54,659,Shangdi
104,996,Shangdi
60.8,765,Shangdi
107.99,750,Shangdi
133,1050,Shangdi
84.33,710,Shangdi
111.57,760,Shangdi
80.43,315,Shangdi
112.57,899,Shangdi
109.11,1150,Shangdi
150.92,1350,Shangdi
139.46,1180,Shangdi
135.41,910,Shangdi
98,727,Shangdi
115.91,898,Shangdi
46.24,347,Shangdi
111.3,1135,Shangdi
149.84,1680,Shangdi
72.3,896,Shangdi
87.92,930,Shangdi
137.04,966,Shangdi
119.96,1240,Shangdi
88.39,408,Shangdi
144.59,1100,Shangdi
213.18,1980,Shangdi
102.06,790,Shangdi
110.2,868,Shangdi
48.01,730,Shangdi
111.57,829,Shangdi
98.4,1380,Shangdi
116.95,1188,Shangdi
175.1,1188,Shangdi
121.9,1298,Shangdi
85.27,390,Shangdi
63.9,645,Shangdi
111.57,870,Shangdi
119,1280,Shangdi
47.3,738,Shangdi
111.57,850,Shangdi
97,1100,Shangdi
84.19,699,Shangdi
131.1,999,Shangdi
87.92,798,Shangdi
137.1,1060,Shangdi
78.61,880,Shangdi
90.1,990,Shangdi
44.31,382,Shangdi
69,545,Shangdi
92.71,780,Shangdi
58.8,860,Shangdi
43.3,760,Shangdi
114.2,1028,Shangdi
144.53,950,Shangdi
121.9,1350,Shangdi
70.44,937,Shangdi
59.5,800,Shangdi
137.1,1060,Shangdi
63.5,765,Shangdi
58.7,760,Shangdi
51.1,368,Shangdi
47.7,670,Shangdi
108.08,798,Shangdi
95.67,1000,Shangdi
57.57,515,Shangdi
111.69,845,Shangdi
59.4,930,Shangdi
115.82,900,Shangdi
109.3,1150,Shangdi
61.88,779,Shangdi
109.11,1150,Shangdi
44.31,355,Shangdi
84.65,368,Shangdi
116.95,1188,Shangdi
70.4,695,Shangdi
86.59,599,Shangdi
133.81,1190,Shangdi
139.51,990,Shangdi
132.13,1000,Shangdi
95.67,1000,Shangdi
87.92,798,Shangdi
109.11,1150,Shangdi
85,400,Shangdi
44.37,460,Shangdi
80.3,328,Shangdi
79.8,938,Shangdi
69.97,680,Shangdi
111.57,708,Shangdi
79.59,325,Shangdi
58.71,516,Shangdi
104,996,Shangdi
95.32,408,Shangdi
111.57,810,Shangdi
175.1,1188,Shangdi
87.3,680,Shangdi
66.06,635,Shangdi
108.08,750,Shangdi
97.37,1258,Shangdi
87.92,930,Shangdi
78.61,880,Shangdi
103.82,980,Shangdi
248,1750,Shangdi
111.57,870,Shangdi
88.63,920,Shangdi
85.7,1090,Shangdi
79.74,300,Shangdi
119.96,1240,Shangdi
54.58,435,Shangdi
111.69,855,Shangdi
48.9,660,Shangdi
120.33,960,Shangdi
110.34,798,Shangdi
98.94,820,Shangdi
100.13,950,Shangdi
49.61,399.9,Shangdi
92.71,780,Shangdi
144.53,950,Shangdi
108.82,698,Shangdi
