m2,price,location
192.04,3390,Qinghe
195.19,2450,Qinghe
111.89,1390,Qinghe
82.17,750,Qinghe
94.67,880,Qinghe
239.19,2880,Qinghe
143.85,1520,Qinghe
88.05,500,Qinghe
99.93,980,Qinghe
107.71,1168,Qinghe
102,890,Qinghe
115.25,880,Qinghe
77.47,536,Qinghe
51.59,235,Qinghe
104.85,598,Qinghe
98.7,599,Qinghe
79.86,518,Qinghe
45.55,295,Qinghe
142.72,820,Qinghe
50,290,Qinghe
225.52,1850,Qinghe
41.5,305,Qinghe
78.49,780,Qinghe
58.91,258,Qinghe
72.66,680,Qinghe
72.58,429,Qinghe
105.12,560,Qinghe
88.19,899,Qinghe
119.96,1240,Qinghe
99.6,590,Qinghe
87.66,583,Qinghe
113.2,688,Qinghe
129.36,960,Qinghe
132.06,948,Qinghe
73.65,631,Qinghe
91.34,929,Qinghe
73.74,475,Qinghe
60.39,439,Qinghe
44.42,299,Qinghe
158.9,1535,Qinghe
76.78,608,Qinghe
331.18,4300,Qinghe
57.51,285,Qinghe
142.1,1345,Qinghe
66.88,265,Qinghe
144.37,1880,Qinghe
69.26,520,Qinghe
187.14,2550,Qinghe
88.59,670,Qinghe
93.95,628,Qinghe
59.61,319,Qinghe
210.34,2080,Qinghe
162.21,1190,Qinghe
91.34,929,Qinghe
162.09,1540,Qinghe
197.57,2100,Qinghe
141.05,1050,Qinghe
57.51,285,Qinghe
163.15,1800,Qinghe
156.22,1560,Qinghe
125.54,1265,Qinghe
113.2,688,Qinghe
85.56,490,Qinghe
144.37,1960,Qinghe
144.84,1800,Qinghe
82.34,660,Qinghe
91.44,585,Qinghe
188.97,2960,Qinghe
53.31,530,Qinghe
83.86,560,Qinghe
53.31,560,Qinghe
64.9,355,Qinghe
53.31,560,Qinghe
87.92,880,Qinghe
91.34,929,Qinghe
45.55,295,Qinghe
101.57,540,Qinghe
238.69,2990,Qinghe
70.55,670,Qinghe
70.41,410,Qinghe
142.72,890,Qinghe
126.81,1270,Qinghe
99.11,570,Qinghe
146,1870,Qinghe
165.13,1020,Qinghe
99,1090,Qinghe
110.74,1050,Qinghe
100.41,1090,Qinghe
82.17,750,Qinghe
144.37,1880,Qinghe
58.91,258,Qinghe
88.63,880,Qinghe
99.93,980,Qinghe
129.89,575,Qinghe
87,713,Qinghe
127.02,1498,Qinghe
53.31,510,Qinghe
90.41,880,Qinghe
210.34,2080,Qinghe
127.67,1280,Qinghe
90.45,480,Qinghe
91.44,539,Qinghe
144.37,2180,Qinghe
195.19,2450,Qinghe
82.22,430,Qinghe
192,2250,Qinghe
156.52,1850,Qinghe
99.93,980,Qinghe
176.48,1900,Qinghe
87.28,465,Qinghe
53.45,300,Qinghe
87,713,Qinghe
125.37,1350,Qinghe
73.65,631,Qinghe
144.2,758,Qinghe
121.44,850,Qinghe
192,2250,Qinghe
76.78,608,Qinghe
94.01,750,Qinghe
82.6,445,Qinghe
47.2,375,Qinghe
98.02,960,Qinghe
94.38,868,Qinghe
91.13,480,Qinghe
86.33,938,Qinghe
90.45,480,Qinghe
104.85,598,Qinghe
160,1073,Qinghe
73.8,410,Qinghe
90.62,578,Qinghe
188.07,1920,Qinghe
187.14,2550,Qinghe
57.24,286,Qinghe
87.18,700,Qinghe
90.25,888,Qinghe
42.7,242,Qinghe
42.3,255,Qinghe
162.09,1540,Qinghe
128.27,975,Qinghe
163.15,1749,Qinghe
147,1698,Qinghe
91.05,429,Qinghe
134.12,2320,Qinghe
124.91,708,Qinghe
53.31,510,Qinghe
237.7,2860,Qinghe
156.22,1560,Qinghe
137.94,1420,Qinghe
33.87,300,Qinghe
237,2800,Qinghe
105.12,560,Qinghe
77.47,536,Qinghe
89.32,1050,Qinghe
81.31,820,Qinghe
93.95,628,Qinghe
87.07,735,Qinghe
97.86,680,Qinghe
53,400,Qinghe
237,2800,Qinghe
211.65,2288,Qinghe
129.36,960,Qinghe
93.95,628,Qinghe
100.98,1015,Qinghe
50,300,Qinghe
201.15,2280,Qinghe
82.53,650,Qinghe
102.68,1030,Qinghe
72.66,680,Qinghe
72.46,733,Qinghe
58.91,258,Qinghe
121.03,521,Qinghe
